state,date,sex,ethnicity,annual_birth,annual_death,age,population
Perlis,2018-01-01,both,overall,4371,2042,overall,253500
Perlis,2019-01-01,both,overall,4060,1996,overall,254000
Perlis,2020-01-01,both,overall,4101,1950,overall,284900
Perlis,2021-01-01,both,overall,4076,2234,overall,287600
Perlis,2022-01-01,both,overall,3746,2422,overall,289800
Pulau Pinang,2000-01-01,both,overall,27337,7037,overall,1332700
Pulau Pinang,2001-01-01,both,overall,24712,7162,overall,1361000
Pulau Pinang,2002-01-01,both,overall,24775,7703,overall,1387300
Pulau Pinang,2003-01-01,both,overall,23467,7781,overall,1412200
Pulau Pinang,2004-01-01,both,overall,22943,7813,overall,1436600
Pulau Pinang,2005-01-01,both,overall,22559,7869,overall,1460400
Pulau Pinang,2006-01-01,both,overall,22003,7918,overall,1484100
Pulau Pinang,2007-01-01,both,overall,22429,8316,overall,1507800
Pulau Pinang,2008-01-01,both,overall,22952,8471,overall,1531300
Pulau Pinang,2009-01-01,both,overall,22777,8699,overall,1554300
Pulau Pinang,2010-01-01,both,overall,21172,9063,overall,1575900
Pulau Pinang,2011-01-01,both,overall,22353,9107,overall,1601000
Pulau Pinang,2012-01-01,both,overall,23794,9133,overall,1623200
Pulau Pinang,2013-01-01,both,overall,21499,9538,overall,1662600
Pulau Pinang,2014-01-01,both,overall,22877,9678,overall,1678100
Pulau Pinang,2015-01-01,both,overall,22242,10226,overall,1698100
Pulau Pinang,2016-01-01,both,overall,21781,10729,overall,1717700
Pulau Pinang,2017-01-01,both,overall,21464,10727,overall,1744100
Pulau Pinang,2018-01-01,both,overall,20705,11209,overall,1762800
Pulau Pinang,2019-01-01,both,overall,20200,10896,overall,1768800
Pulau Pinang,2020-01-01,both,overall,19645,10701,overall,1740400
Pulau Pinang,2021-01-01,both,overall,18571,13978,overall,1740000
Pulau Pinang,2022-01-01,both,overall,17731,12920,overall,1740900
Sabah,2000-01-01,both,overall,49308,5203,overall,2603500
Sabah,2001-01-01,both,overall,48990,5437,overall,2663300
Sabah,2002-01-01,both,overall,46119,5864,overall,2719100
Sabah,2003-01-01,both,overall,44388,6061,overall,2774000
Sabah,2004-01-01,both,overall,46170,6328,overall,2833400
Sabah,2005-01-01,both,overall,47160,6563,overall,2897000
Sabah,2006-01-01,both,overall,46142,6702,overall,2962900
Sabah,2007-01-01,both,overall,47017,6979,overall,3032300
Sabah,2008-01-01,both,overall,50272,7394,overall,3105100
Sabah,2009-01-01,both,overall,52782,7565,overall,3181100
Sabah,2010-01-01,both,overall,54134,7622,overall,3260000
Sabah,2011-01-01,both,overall,54990,8095,overall,3345500
Sabah,2012-01-01,both,overall,58185,8066,overall,3432700
Sabah,2013-01-01,both,overall,56823,8253,overall,3611500
Sabah,2014-01-01,both,overall,57397,12188,overall,3669900
Sabah,2015-01-01,both,overall,54699,12511,overall,3720500
